toclevel	level	line	number	index	fromtitle	byteoffset	anchor	revid	date	time
1	2	History	1	1	Race_and_intelligence	527	History	432058	09/07/2018	16:10:01Z
1	2	Measured average IQs	2	2	Race_and_intelligence	7957	Measured_average_IQs	432058	09/07/2018	16:10:01Z
2	3	Worldwide	2.1	3	Race_and_intelligence	8197	Worldwide	432058	09/07/2018	16:10:01Z
2	3	World average IQ	2.2	4	Race_and_intelligence	12454	World_average_IQ	432058	09/07/2018	16:10:01Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	12772	United_States_Black-White_gap	432058	09/07/2018	16:10:01Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	20283	.22Hispanics.22	432058	09/07/2018	16:10:01Z
2	3	Jews	2.5	7	Race_and_intelligence	20754	Jews	432058	09/07/2018	16:10:01Z
2	3	Gypsies	2.6	8	Race_and_intelligence	20799	Gypsies	432058	09/07/2018	16:10:01Z
2	3	Pygmies	2.7	9	Race_and_intelligence	21527	Pygmies	432058	09/07/2018	16:10:01Z
2	3	Immigrants	2.8	10	Race_and_intelligence	21728	Immigrants	432058	09/07/2018	16:10:01Z
2	3	Historical differences	2.9	11	Race_and_intelligence	22292	Historical_differences	432058	09/07/2018	16:10:01Z
2	3	Related variables	2.1	12	Race_and_intelligence	22970	Related_variables	432058	09/07/2018	16:10:01Z
1	2	General race and intelligence research issues	3	13	Race_and_intelligence	23312	General_race_and_intelligence_research_issues	432058	09/07/2018	16:10:01Z
2	3	Ad hominem, straw men, and guilt by association	3.1	14	Race_and_intelligence	23364	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	432058	09/07/2018	16:10:01Z
2	3	Race research and the origin of racism	3.2	15	Race_and_intelligence	26756	Race_research_and_the_origin_of_racism	432058	09/07/2018	16:10:01Z
2	3	The existence of races	3.3	16	Race_and_intelligence	26907	The_existence_of_races	432058	09/07/2018	16:10:01Z
1	2	The genetics or not debate	4	17	Race_and_intelligence	28738	The_genetics_or_not_debate	432058	09/07/2018	16:10:01Z
2	3	Opinion of experts in 1987	4.1	18	Race_and_intelligence	30334	Opinion_of_experts_in_1987	432058	09/07/2018	16:10:01Z
2	3	Opinion of experts in 2013	4.2	19	Race_and_intelligence	31614	Opinion_of_experts_in_2013	432058	09/07/2018	16:10:01Z
2	3	Opinion of experts in 2016	4.3	20	Race_and_intelligence	33259	Opinion_of_experts_in_2016	432058	09/07/2018	16:10:01Z
1	2	Evolutionary explanations for racial differences	5	21	Race_and_intelligence	36297	Evolutionary_explanations_for_racial_differences	432058	09/07/2018	16:10:01Z
1	2	Race, sex, and intelligence	6	22	Race_and_intelligence	45069	Race.2C_sex.2C_and_intelligence	432058	09/07/2018	16:10:01Z
1	2	Interventions affecting IQ	7	23	Race_and_intelligence	45908	Interventions_affecting_IQ	432058	09/07/2018	16:10:01Z
1	2	Significance of IQ differences	8	24	Race_and_intelligence	47179	Significance_of_IQ_differences	432058	09/07/2018	16:10:01Z
2	3	Significance of IQ and g	8.1	25	Race_and_intelligence	47216	Significance_of_IQ_and_g	432058	09/07/2018	16:10:01Z
2	3	Significance of environmentally caused IQ changes	8.2	26	Race_and_intelligence	50434	Significance_of_environmentally_caused_IQ_changes	432058	09/07/2018	16:10:01Z
2	3	Very low average IQ values	8.3	27	Race_and_intelligence	50899	Very_low_average_IQ_values	432058	09/07/2018	16:10:01Z
2	3	Personality and apparent IQ	8.4	28	Race_and_intelligence	51843	Personality_and_apparent_IQ	432058	09/07/2018	16:10:01Z
2	3	Historical societies	8.5	29	Race_and_intelligence	52396	Historical_societies	432058	09/07/2018	16:10:01Z
2	3	Modern societies	8.6	30	Race_and_intelligence	62713	Modern_societies	432058	09/07/2018	16:10:01Z
2	3	Future	8.7	31	Race_and_intelligence	70287	Future	432058	09/07/2018	16:10:01Z
1	2	External links	9	32	Race_and_intelligence	70617	External_links	432058	09/07/2018	16:10:01Z
2	3	Article archives	9.1	33	Race_and_intelligence	70638	Article_archives	432058	09/07/2018	16:10:01Z
1	2	References	10	T-1	Template:References		References	432058	09/07/2018	16:10:01Z
1	2	History	1	1	Race_and_intelligence	527	History	431948	05/07/2018	15:06:16Z
1	2	Measured average IQs	2	2	Race_and_intelligence	7957	Measured_average_IQs	431948	05/07/2018	15:06:16Z
2	3	Worldwide	2.1	3	Race_and_intelligence	8197	Worldwide	431948	05/07/2018	15:06:16Z
2	3	World average IQ	2.2	4	Race_and_intelligence	12454	World_average_IQ	431948	05/07/2018	15:06:16Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	12772	United_States_Black-White_gap	431948	05/07/2018	15:06:16Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	20283	.22Hispanics.22	431948	05/07/2018	15:06:16Z
2	3	Jews	2.5	7	Race_and_intelligence	20754	Jews	431948	05/07/2018	15:06:16Z
2	3	Gypsies	2.6	8	Race_and_intelligence	20799	Gypsies	431948	05/07/2018	15:06:16Z
2	3	Pygmies	2.7	9	Race_and_intelligence	21527	Pygmies	431948	05/07/2018	15:06:16Z
2	3	Immigrants	2.8	10	Race_and_intelligence	21728	Immigrants	431948	05/07/2018	15:06:16Z
2	3	Historical differences	2.9	11	Race_and_intelligence	22292	Historical_differences	431948	05/07/2018	15:06:16Z
2	3	Related variables	2.1	12	Race_and_intelligence	22970	Related_variables	431948	05/07/2018	15:06:16Z
1	2	General race and intelligence research issues	3	13	Race_and_intelligence	23312	General_race_and_intelligence_research_issues	431948	05/07/2018	15:06:16Z
2	3	Ad hominem, straw men, and guilt by association	3.1	14	Race_and_intelligence	23364	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	431948	05/07/2018	15:06:16Z
2	3	Race research and the origin of racism	3.2	15	Race_and_intelligence	26756	Race_research_and_the_origin_of_racism	431948	05/07/2018	15:06:16Z
2	3	The existence of races	3.3	16	Race_and_intelligence	26907	The_existence_of_races	431948	05/07/2018	15:06:16Z
1	2	The genetics or not debate	4	17	Race_and_intelligence	28738	The_genetics_or_not_debate	431948	05/07/2018	15:06:16Z
2	3	Opinion of experts in 1987	4.1	18	Race_and_intelligence	30334	Opinion_of_experts_in_1987	431948	05/07/2018	15:06:16Z
2	3	Opinion of experts in 2013	4.2	19	Race_and_intelligence	31614	Opinion_of_experts_in_2013	431948	05/07/2018	15:06:16Z
2	3	Opinion of experts in 2016	4.3	20	Race_and_intelligence	33259	Opinion_of_experts_in_2016	431948	05/07/2018	15:06:16Z
1	2	Evolutionary explanations for racial differences	5	21	Race_and_intelligence	36297	Evolutionary_explanations_for_racial_differences	431948	05/07/2018	15:06:16Z
1	2	Race, sex, and intelligence	6	22	Race_and_intelligence	45069	Race.2C_sex.2C_and_intelligence	431948	05/07/2018	15:06:16Z
1	2	Interventions affecting IQ	7	23	Race_and_intelligence	45908	Interventions_affecting_IQ	431948	05/07/2018	15:06:16Z
1	2	Significance of IQ differences	8	24	Race_and_intelligence	47179	Significance_of_IQ_differences	431948	05/07/2018	15:06:16Z
2	3	Significance of IQ and g	8.1	25	Race_and_intelligence	47216	Significance_of_IQ_and_g	431948	05/07/2018	15:06:16Z
2	3	Significance of environmentally caused IQ changes	8.2	26	Race_and_intelligence	50434	Significance_of_environmentally_caused_IQ_changes	431948	05/07/2018	15:06:16Z
2	3	Very low average IQ values	8.3	27	Race_and_intelligence	50899	Very_low_average_IQ_values	431948	05/07/2018	15:06:16Z
2	3	Personality and apparent IQ	8.4	28	Race_and_intelligence	51843	Personality_and_apparent_IQ	431948	05/07/2018	15:06:16Z
2	3	Historical societies	8.5	29	Race_and_intelligence	52396	Historical_societies	431948	05/07/2018	15:06:16Z
2	3	Modern societies	8.6	30	Race_and_intelligence	62713	Modern_societies	431948	05/07/2018	15:06:16Z
2	3	Future	8.7	31	Race_and_intelligence	70287	Future	431948	05/07/2018	15:06:16Z
1	2	External links	9	32	Race_and_intelligence	70617	External_links	431948	05/07/2018	15:06:16Z
2	3	Article archives	9.1	33	Race_and_intelligence	70638	Article_archives	431948	05/07/2018	15:06:16Z
1	2	References	10	T-1	Template:References		References	431948	05/07/2018	15:06:16Z
1	2	History	1	1	Race_and_intelligence	527	History	431866	02/07/2018	22:29:13Z
1	2	Measured average IQs	2	2	Race_and_intelligence	7957	Measured_average_IQs	431866	02/07/2018	22:29:13Z
2	3	Worldwide	2.1	3	Race_and_intelligence	8197	Worldwide	431866	02/07/2018	22:29:13Z
2	3	World average IQ	2.2	4	Race_and_intelligence	12454	World_average_IQ	431866	02/07/2018	22:29:13Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	12772	United_States_Black-White_gap	431866	02/07/2018	22:29:13Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	20283	.22Hispanics.22	431866	02/07/2018	22:29:13Z
2	3	Jews	2.5	7	Race_and_intelligence	20754	Jews	431866	02/07/2018	22:29:13Z
2	3	Gypsies	2.6	8	Race_and_intelligence	20799	Gypsies	431866	02/07/2018	22:29:13Z
2	3	Pygmies	2.7	9	Race_and_intelligence	21527	Pygmies	431866	02/07/2018	22:29:13Z
2	3	Immigrants	2.8	10	Race_and_intelligence	21728	Immigrants	431866	02/07/2018	22:29:13Z
2	3	Historical differences	2.9	11	Race_and_intelligence	22292	Historical_differences	431866	02/07/2018	22:29:13Z
2	3	Related variables	2.1	12	Race_and_intelligence	22970	Related_variables	431866	02/07/2018	22:29:13Z
1	2	General race and intelligence research issues	3	13	Race_and_intelligence	23312	General_race_and_intelligence_research_issues	431866	02/07/2018	22:29:13Z
2	3	Ad hominem, straw men, and guilt by association	3.1	14	Race_and_intelligence	23364	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	431866	02/07/2018	22:29:13Z
2	3	Race research and the origin of racism	3.2	15	Race_and_intelligence	26756	Race_research_and_the_origin_of_racism	431866	02/07/2018	22:29:13Z
2	3	The existence of races	3.3	16	Race_and_intelligence	26907	The_existence_of_races	431866	02/07/2018	22:29:13Z
1	2	The genetics or not debate	4	17	Race_and_intelligence	28738	The_genetics_or_not_debate	431866	02/07/2018	22:29:13Z
2	3	Opinion of experts in 1987	4.1	18	Race_and_intelligence	30334	Opinion_of_experts_in_1987	431866	02/07/2018	22:29:13Z
2	3	Opinion of experts in 2013	4.2	19	Race_and_intelligence	31614	Opinion_of_experts_in_2013	431866	02/07/2018	22:29:13Z
2	3	Opinion of experts in 2016	4.3	20	Race_and_intelligence	33259	Opinion_of_experts_in_2016	431866	02/07/2018	22:29:13Z
1	2	Evolutionary explanations for racial differences	5	21	Race_and_intelligence	36297	Evolutionary_explanations_for_racial_differences	431866	02/07/2018	22:29:13Z
1	2	Race, sex, and intelligence	6	22	Race_and_intelligence	45069	Race.2C_sex.2C_and_intelligence	431866	02/07/2018	22:29:13Z
1	2	Interventions affecting IQ	7	23	Race_and_intelligence	45908	Interventions_affecting_IQ	431866	02/07/2018	22:29:13Z
1	2	Significance of IQ differences	8	24	Race_and_intelligence	47179	Significance_of_IQ_differences	431866	02/07/2018	22:29:13Z
2	3	Significance of IQ and g	8.1	25	Race_and_intelligence	47216	Significance_of_IQ_and_g	431866	02/07/2018	22:29:13Z
2	3	Significance of environmentally caused IQ changes	8.2	26	Race_and_intelligence	50434	Significance_of_environmentally_caused_IQ_changes	431866	02/07/2018	22:29:13Z
2	3	Very low average IQ values	8.3	27	Race_and_intelligence	50899	Very_low_average_IQ_values	431866	02/07/2018	22:29:13Z
2	3	Personality and apparent IQ	8.4	28	Race_and_intelligence	51843	Personality_and_apparent_IQ	431866	02/07/2018	22:29:13Z
2	3	Historical societies	8.5	29	Race_and_intelligence	52396	Historical_societies	431866	02/07/2018	22:29:13Z
2	3	Modern societies	8.6	30	Race_and_intelligence	62713	Modern_societies	431866	02/07/2018	22:29:13Z
2	3	Future	8.7	31	Race_and_intelligence	70287	Future	431866	02/07/2018	22:29:13Z
1	2	External links	9	32	Race_and_intelligence	70617	External_links	431866	02/07/2018	22:29:13Z
2	3	Article archives	9.1	33	Race_and_intelligence	70638	Article_archives	431866	02/07/2018	22:29:13Z
1	2	References	10	T-1	Template:References		References	431866	02/07/2018	22:29:13Z
1	2	History	1	1	Race_and_intelligence	527	History	431863	02/07/2018	21:29:46Z
1	2	Measured average IQs	2	2	Race_and_intelligence	7957	Measured_average_IQs	431863	02/07/2018	21:29:46Z
2	3	Worldwide	2.1	3	Race_and_intelligence	8197	Worldwide	431863	02/07/2018	21:29:46Z
2	3	World average IQ	2.2	4	Race_and_intelligence	12454	World_average_IQ	431863	02/07/2018	21:29:46Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	12772	United_States_Black-White_gap	431863	02/07/2018	21:29:46Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	20283	.22Hispanics.22	431863	02/07/2018	21:29:46Z
2	3	Jews	2.5	7	Race_and_intelligence	20754	Jews	431863	02/07/2018	21:29:46Z
2	3	Gypsies	2.6	8	Race_and_intelligence	20799	Gypsies	431863	02/07/2018	21:29:46Z
2	3	Pygmies	2.7	9	Race_and_intelligence	21527	Pygmies	431863	02/07/2018	21:29:46Z
2	3	Immigrants	2.8	10	Race_and_intelligence	21728	Immigrants	431863	02/07/2018	21:29:46Z
2	3	Historical differences	2.9	11	Race_and_intelligence	22292	Historical_differences	431863	02/07/2018	21:29:46Z
2	3	Related variables	2.1	12	Race_and_intelligence	22970	Related_variables	431863	02/07/2018	21:29:46Z
1	2	General race and intelligence research issues	3	13	Race_and_intelligence	23312	General_race_and_intelligence_research_issues	431863	02/07/2018	21:29:46Z
2	3	Ad hominem, straw men, and guilt by association	3.1	14	Race_and_intelligence	23364	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	431863	02/07/2018	21:29:46Z
2	3	Race research and the origin of racism	3.2	15	Race_and_intelligence	26756	Race_research_and_the_origin_of_racism	431863	02/07/2018	21:29:46Z
2	3	The existence of races	3.3	16	Race_and_intelligence	26907	The_existence_of_races	431863	02/07/2018	21:29:46Z
1	2	The genetics or not debate	4	17	Race_and_intelligence	28738	The_genetics_or_not_debate	431863	02/07/2018	21:29:46Z
2	3	Opinion of experts in 1987	4.1	18	Race_and_intelligence	30334	Opinion_of_experts_in_1987	431863	02/07/2018	21:29:46Z
2	3	Opinion of experts in 2013	4.2	19	Race_and_intelligence	31614	Opinion_of_experts_in_2013	431863	02/07/2018	21:29:46Z
2	3	Opinion of experts in 2016	4.3	20	Race_and_intelligence	33259	Opinion_of_experts_in_2016	431863	02/07/2018	21:29:46Z
1	2	Evolutionary explanations for racial differences	5	21	Race_and_intelligence	36297	Evolutionary_explanations_for_racial_differences	431863	02/07/2018	21:29:46Z
1	2	Race, sex, and intelligence	6	22	Race_and_intelligence	45069	Race.2C_sex.2C_and_intelligence	431863	02/07/2018	21:29:46Z
1	2	Interventions affecting IQ	7	23	Race_and_intelligence	45908	Interventions_affecting_IQ	431863	02/07/2018	21:29:46Z
1	2	Significance of IQ differences	8	24	Race_and_intelligence	47179	Significance_of_IQ_differences	431863	02/07/2018	21:29:46Z
2	3	Significance of IQ and g	8.1	25	Race_and_intelligence	47216	Significance_of_IQ_and_g	431863	02/07/2018	21:29:46Z
2	3	Significance of environmentally caused IQ changes	8.2	26	Race_and_intelligence	50434	Significance_of_environmentally_caused_IQ_changes	431863	02/07/2018	21:29:46Z
2	3	Very low average IQ values	8.3	27	Race_and_intelligence	50899	Very_low_average_IQ_values	431863	02/07/2018	21:29:46Z
2	3	Personality and apparent IQ	8.4	28	Race_and_intelligence	51843	Personality_and_apparent_IQ	431863	02/07/2018	21:29:46Z
2	3	Historical societies	8.5	29	Race_and_intelligence	52396	Historical_societies	431863	02/07/2018	21:29:46Z
2	3	Modern societies	8.6	30	Race_and_intelligence	62660	Modern_societies	431863	02/07/2018	21:29:46Z
2	3	Future	8.7	31	Race_and_intelligence	70234	Future	431863	02/07/2018	21:29:46Z
1	2	External links	9	32	Race_and_intelligence	70564	External_links	431863	02/07/2018	21:29:46Z
2	3	Article archives	9.1	33	Race_and_intelligence	70585	Article_archives	431863	02/07/2018	21:29:46Z
1	2	References	10	T-1	Template:References		References	431863	02/07/2018	21:29:46Z
