toclevel	level	line	number	index	fromtitle	byteoffset	anchor	revid	date	data-filter	time
1	2	History of the debate	1	1	Race_and_intelligence	2381	History_of_the_debate	848286007	2018-07-01	2018-07-01	00:06:27Z
1	2	History of the debate	1	1	Race_and_intelligence	2381	History_of_the_debate	847967163	2018-06-29	2018-06-29	00:02:16Z
1	2	History of the debate	1	1	Race_and_intelligence	2381	History_of_the_debate	847624797	2018-06-26	2018-06-26	17:28:37Z
1	2	History of the debate	1	1	Race_and_intelligence	2381	History_of_the_debate	846693795	2018-06-20	2018-06-20	09:57:24Z
1	2	History of the debate	1	1	Race_and_intelligence	2381	History_of_the_debate	846623275	2018-06-19	2018-06-19	22:06:47Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	846448243	2018-06-18	2018-06-18	21:06:46Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	841865842	2018-05-18	2018-05-18	15:45:58Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	841231873	2018-05-14	2018-05-14	18:07:16Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	839262050	2018-05-02	2018-05-02	09:17:27Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	838640941	2018-04-28	2018-04-28	09:20:03Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	838558449	2018-04-27	2018-04-27	19:48:56Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	837784265	2018-04-23	2018-04-23	01:07:43Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	837749520	2018-04-22	2018-04-22	20:11:49Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	837330328	2018-04-20	2018-04-20	04:27:42Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	836900669	2018-04-17	2018-04-17	14:44:57Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	836772890	2018-04-16	2018-04-16	19:23:04Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	836082699	2018-04-12	2018-04-12	16:03:34Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	835208243	2018-04-07	2018-04-07	07:18:51Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	835128882	2018-04-06	2018-04-06	18:51:51Z
1	2	History of the debate	1	1	Race_and_intelligence	2392	History_of_the_debate	834151592	2018-04-04	2018-04-04	05:48:42Z
1	2	History of the debate	1	1	Race_and_intelligence	2514	History_of_the_debate	833969850	2018-04-03	2018-04-03	07:33:40Z
1	2	History of the debate	1	1	Race_and_intelligence	2380	History_of_the_debate	833870215	2018-04-02	2018-04-02	20:15:29Z
1	2	History of the debate	1	1	Race_and_intelligence	2380	History_of_the_debate	832823907	2018-03-28	2018-03-28	05:37:32Z
1	2	History of the debate	1	1	Race_and_intelligence	2514	History_of_the_debate	832761700	2018-03-27	2018-03-27	21:20:15Z
1	2	History of the debate	1	1	Race_and_intelligence	2514	History_of_the_debate	831673436	2018-03-21	2018-03-21	18:33:33Z
1	2	History of the debate	1	1	Race_and_intelligence	2514	History_of_the_debate	831316142	2018-03-19	2018-03-19	23:26:08Z
1	2	History of the debate	1	1	Race_and_intelligence	2380	History_of_the_debate	830986648	2018-03-18	2018-03-18	02:24:42Z
1	2	History of the debate	1	1	Race_and_intelligence	2380	History_of_the_debate	830469005	2018-03-15	2018-03-15	00:53:25Z
1	2	History of the debate	1	1	Race_and_intelligence	2380	History_of_the_debate	830440485	2018-03-14	2018-03-14	20:56:56Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	830281295	2018-03-13	2018-03-13	21:34:49Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	828194628	2018-03-01	2018-03-01	02:49:03Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	828106788	2018-02-28	2018-02-28	16:27:27Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	827970722	2018-02-27	2018-02-27	20:31:01Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	827547524	2018-02-25	2018-02-25	10:05:30Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	826848094	2018-02-21	2018-02-21	09:35:52Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	826026369	2018-02-16	2018-02-16	19:47:44Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	825285220	2018-02-12	2018-02-12	14:54:00Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	825125465	2018-02-11	2018-02-11	17:11:34Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	823208053	2018-01-30	2018-01-30	22:04:05Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	822773463	2018-01-28	2018-01-28	11:49:29Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	821383790	2018-01-20	2018-01-20	04:03:23Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	820197576	2018-01-13	2018-01-13	16:17:58Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	820058354	2018-01-12	2018-01-12	21:10:14Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	819269399	2018-01-08	2018-01-08	12:18:55Z
1	2	History of the debate	1	1	Race_and_intelligence	2770	History_of_the_debate	818948189	2018-01-06	2018-01-06	14:47:41Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	817079157	2017-12-26	2017-12-26	00:23:26Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	813739221	2017-12-05	2017-12-05	00:15:59Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	813155444	2017-12-02	2017-12-02	03:20:16Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	812666550	2017-11-29	2017-11-29	04:32:07Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	812461540	2017-11-27	2017-11-27	23:45:48Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	811105343	2017-11-19	2017-11-19	15:16:09Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	810735488	2017-11-17	2017-11-17	03:11:08Z
1	2	History of the debate	1	1	Race_and_intelligence	2510	History_of_the_debate	810065337	2017-11-13	2017-11-13	04:36:37Z
